idx,src_node_id,src_idx,src_optode_name,src_wl,src_coords_3d,det_node_id,det_idx,det_optode_name,det_coords_3d
70,1,2,B,735,,6,2,2,
71,1,2,B,735,,6,3,3,
72,1,2,B,735,,6,4,4,
73,1,2,B,735,,7,1,1,
74,1,2,B,735,,7,2,2,
75,1,2,B,735,,7,3,3,
76,1,2,B,735,,7,4,4,
77,1,2,B,735,,8,1,1,
78,1,2,B,735,,8,2,2,
79,1,2,B,735,,8,3,3,
80,1,2,B,735,,8,4,4,
81,1,2,B,735,,9,1,1,
82,1,2,B,735,,9,2,2,
83,1,2,B,735,,9,3,3,
84,1,2,B,735,,9,4,4,
85,1,2,B,735,,10,1,1,
86,1,2,B,735,,10,2,2,
87,1,2,B,735,,10,3,3,
88,1,2,B,735,,10,4,4,
89,1,2,B,735,,11,1,1,
90,1,2,B,735,,11,2,2,
91,1,2,B,735,,11,3,3,
92,1,2,B,735,,11,4,4,
93,1,2,B,735,,12,1,1,
94,1,2,B,735,,12,2,2,
95,1,2,B,735,,12,3,3,
96,1,2,B,735,,12,4,4,
97,1,3,C,735,,1,1,1,
